Source project,record_id,Decision bucket,Priority score,Rules triggered,Why flagged (1-2 line inference)
Source Project 4581,1026,Hold pending adjudication,11,"R1, R2, R8","Flagged high risk: R8, R1, R2 triggered; payment held until human adjudication confirms validity."
Source Project 4581,120,Hold pending adjudication,11,"R1, R2, R8","Flagged high risk: R8, R1, R2 triggered; payment held until human adjudication confirms validity."
Source Project 4581,571,Hold pending adjudication,11,"R1, R2, R8","Flagged high risk: R8, R1, R2 triggered; payment held until human adjudication confirms validity."
Source Project 4581,1678,Hold pending adjudication,8,"R2, R8","Flagged high risk: R8, R2 triggered; payment held until human adjudication confirms validity."
Source Project 4581,1774,Hold pending adjudication,8,"R2, R8","Flagged high risk: R8, R2 triggered; payment held until human adjudication confirms validity."
Source Project 4581,182,Hold pending adjudication,8,"R2, R8","Flagged high risk: R8, R2 triggered; payment held until human adjudication confirms validity."
Source Project 4581,1002,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1006,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1008,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1010,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1027,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1038,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1039,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1041,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1044,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1048,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1056,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1059,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1060,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1064,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1068,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1077,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1084,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1089,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
